doc_path,code,chmp_output,prime_output
EU-1-09-566_public-assessment-report_20091109_20091109_lamivudine-teva-epar-public-assessment-report.md,EU-1-09-566,2009-07-23,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-11-729_public-assessment-report_20111208_20140402_onduarp-epar-public-assessment-report.md,EU-1-11-729,2011-09-22,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-11-737_public-assessment-report_20111212_20111212_eviplera-epar-public-assessment-report.md,EU-1-11-737,2011-09-22,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-14-921_public-assessment-report_20140519_20140519_biresp-spiromax-epar-public-assessment-report.md,EU-1-14-921,2014-02-20,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-15-1033_public-assessment-report_20150901_20150901_kanuma-epar-public-assessment-report.md,EU-1-15-1033,2015-06-25,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-16-1122_public-assessment-report_20160902_20200115_aerivio-spiromax-epar-public-assessment-report.md,EU-1-16-1122,2016-06-23,TRUE
EU-1-17-1216_public-assessment-report_20170831_20170831_imraldi-epar-public-assessment-report.md,EU-1-17-1216,2017-06-22,TRUE
EU-1-20-1496_public-assessment-report_20201125_20201125_oxlumo-epar-public-assessment-report.md,EU-1-20-1496,2021-05-20,TRUE
EU-1-21-1563_public-assessment-report_20210727_20220404_skysona-epar-public-assessment-report.md,EU-1-21-1563,2020-10-15,TRUE
EU-1-21-1601_public-assessment-report_20211119_20211119_ronapreve-epar-public-assessment-report.md,EU-1-21-1601,2021-11-11,TRUE
EU-1-21-1611_public-assessment-report_20220617_20220617_vildagliptin---metformin-hydrochloride-accord-epar-public-assessment-report.md,EU-1-21-1611,2022-01-27,FALSE
EU-1-22-1700_public-assessment-report_20230111_20230111_ebvallo-epar-public-assessment-report.md,EU-1-22-1700,2022-10-13,TRUE
